name_pop_genome_old	name_pop_genome_new	name_Pan_genome	OF_name	name_to_use_in_paper	clade	MAT_type
A_fum_AF100_11_3	AF100-11_3	Afum_AF100_11_3	AF100_11_3	AF100-11_3	1	MAT2
A_fum_AF100_11A	AF100-11A	Afum_AF100_11A	AF100_11A	AF100-11A	1	MAT1
A_fum_AF100_11B	AF100-11B	Afum_AF100_11B	AF100_11B	AF100-11B	1	MAT1
A_fum_AF100_11C	AF100-11C	Afum_AF100_11C	AF100_11C	AF100-11C	1	MAT1
A_fum_AF100_12_10	AF100-12_10	Afum_AF100_12_10	AF100_12_10	AF100-12_10	1	MAT1
A_fum_AF100_12_13	AF100-12_13	Afum_AF100_12_13	AF100_12_13	AF100-12_13	1	MAT1
A_fum_AF100_12_17	AF100-12_17	Afum_AF100_12_17	AF100_12_17	AF100-12_17	1	MAT2
A_fum_AF100_12_18	AF100-12_18	Afum_AF100_12_18	AF100_12_18	AF100-12_18	1	MAT1
A_fum_AF100_12_2	AF100-12_2	Afum_AF100_12_2	AF100_12_2	AF100-12_2	1	MAT2
A_fum_AF100_12_21	AF100-12_21	Afum_AF100_12_21	AF100_12_21	AF100-12_21	1	MAT2
A_fum_AF100_12_23	AF100-12_23	Afum_AF100_12_23	AF100_12_23	AF100-12_23	1	MAT2
A_fum_AF100_12_24	AF100-12_24	Afum_AF100_12_24	AF100_12_24	AF100-12_24	1	MAT2
A_fum_AF100_12_25	AF100-12_25	Afum_AF100_12_25	AF100_12_25	AF100-12_25	1	MAT2
A_fum_AF100_12_26	AF100-12_26	Afum_AF100_12_26	AF100_12_26	AF100-12_26	1	MAT2
